區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
北區,元美里辦公處,例假日、寒暑假及課餘時間 上午09:00-12:00 下午2:00-5:00,1.公園街道社區打掃 2.文書處理 3.里長(家長)陪同關懷訪視 4.社區環境整理 5.登革熱巡檢,聯絡人:侯喬臻 電話:0938119918,,2019/3/8
歸仁區,歸仁里辦公處,寒暑假週一至週五: 上午08:30-11:30 下午13:30-16:30,1.里內環境清掃/整理 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:歸仁里長 嚴銓鑫 電話:0972-720996,,2019/3/8
北區,華德里辦公處,寒暑假週一至週六: 上午8:00- 12:00 下午2:00-6:00 平日週六: 上午8:00-12:00 人數不限,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:宋藍美玉里長 電話:06-2830288,,2019/3/13
中西區,西和里辦公處,寒暑假: 上午8:00-12:00; 下午2:00-5:00 平常日:週六日 上午8:00-12:00; 下午2:00-5:00,"1.里內公園綠地巷道清潔維護打 掃。 2.活動中心清潔維護打掃。 3.由里內成人陪同,協助登革熱孳 生源清除。",聯絡人:廖昇英里長 聯絡電話:0933397942,,2019/3/13
中西區,南美里辦公處,寒暑假: 上午 9:00-12:00 下午2:00-5:00           平常 日:週六、日 上午9:00-12:00 下午2:00-5:00,"1.里內公園綠地巷道清潔維護打 掃。 2.活動中心清潔維護打掃。 3.由里內成人陪同,協助登革熱孳 生源清除。",聯絡人:曾朝欽里長 聯絡電話:0933396484,,2019/3/13
中西區,城隍里辦公處,寒暑假: 上午 9:00-12:00 下午2:00-5:00 平常日:週六、日 上午9:00-12:00 下午2:00-5:00,"1.里內公園綠地巷道清潔維護打 掃。 2.活動中心清潔維護打掃。 3.由里內成人陪同,協助登革熱孳 生源清除。",聯絡人:曾景亮里長 聯絡電話:0933398017,,2019/3/13
中西區,環翠社區發展協會,寒暑假週一至週五: 下午1:30~4:30 (每日各2人) 週六日: 上午8:00~12:00 (每日各2人),"1.里內社區環境清掃及資料整理 2.里內社區活動協助 3.由協會人員或家長陪同,協助登 防熱防治宣導。 4.由協會人員或家長陪同,協助社 區內居家長者訪視。",,112/12/21更新:臺南市政府業 以111年6月30日南市社團字第 1110828082號函依法予以解散,2019/3/13
全區,財團法人天主教會 台南教區1,1.彌撒祭禮:員額3人 每週日上午7:30~9:30 聖誕節晚上7:00~9:00  2.青年團契:員額3人 每週日上午9:30~11:30 3.寒暑假各項青年團契服務時數8 小時。 上午7:30~11:30 下午1:30~5:30 員額3人,資深輔導老師帶領從事下列服務學 習: 1.幫助彌撒時協助準備:祭台祭器 清點佈、聖堂經書、歌本排放、教 唱聖歌。彌撒中協助擔任輔祭工 作、聖歌伴奏。彌撒結束後祭台祭 器清理佈置及還原。 2.寒暑假協助青少年各項團契活 動:學習活動設計、規劃佈置、海 報宣傳影片製作、團隊策畫、活動 接洽、道具製作、文書處理、環境 整理、佈置、餐具用品的清洗、一 切善後復原工作。,△中華聖母主教座堂TEL:213- 9013羅建屏神父 △中山路聖母無原罪天主堂 TEL:221-7607何弘道神父 △南寧聖若瑟天主堂TEL:213- 7315梁德政神父 △中西區聖十字架天主堂 TEL:224-1163鄭再發總主教代理 △天主教台南教區辦事處 TEL:237-5761聯絡人:陶文錦 △大林聖維雅內天主堂TEL:215- 0674阮文嗣神父 △東門中華殉道聖人天主堂 TEL:234-3486蕭明昆神父 △勝利路耶穌聖心天主堂 TEL:237-6104王秉鈞神父,,2019/3/13
全區,財團法人天主教會 台南教區2,1.彌撒祭禮:員額3人 每週日上午7:30~9:30 聖誕節晚上7:00~9:00  2.青年團契:員額3人 每週日上午9:30~11:30 3.寒暑假各項青年團契服務時數8 小時。 上午7:30~11:30 下午1:30~5:30 員額3人,資深輔導老師帶領從事下列服務學 習: 1.幫助彌撒時協助準備:祭台祭器 清點佈、聖堂經書、歌本排放、教 唱聖歌。彌撒中協助擔任輔祭工 作、聖歌伴奏。彌撒結束後祭台祭 器清理佈置及還原。 2.寒暑假協助青少年各項團契活 動:學習活動設計、規劃佈置、海 報宣傳影片製作、團隊策畫、活動 接洽、道具製作、文書處理、環境 整理、佈置、餐具用品的清洗、一 切善後復原工作。,△後甲聖母進教之佑天主堂 TEL:331-0412薛井然神父 △天主教台南教區青年中心 TEL:0975-957-871秘書:蔡佩茹 小姐 △開元路聖味增爵天主堂 TEL:234-1507 洪性道神父 △安平聖樂倫天主堂TEL:223- 2760費格德神父 △安南區天主之母傳道所 TEL:256-6535賈滿瑞神父 △二空聖母升天天主堂TEL:268- 3406賜和平神父 △歸仁思高天主堂TEL:239-1472 薛井然神父 △影三聖彌格天主堂TEL:313-,,2019/3/13
全區,財團法人天主教會 台南教區3,1.彌撒祭禮:員額3人 每週日上午7:30~9:30 聖誕節晚上7:00~9:00  2.青年團契:員額3人 每週日上午9:30~11:30 3.寒暑假各項青年團契服務時數8 小時。 上午7:30~11:30 下午1:30~5:30 員額3人,資深輔導老師帶領從事下列服務學 習: 1.幫助彌撒時協助準備:祭台祭器 清點佈、聖堂經書、歌本排放、教 唱聖歌。彌撒中協助擔任輔祭工 作、聖歌伴奏。彌撒結束後祭台祭 器清理佈置及還原。 2.寒暑假協助青少年各項團契活 動:學習活動設計、規劃佈置、海 報宣傳影片製作、團隊策畫、活動 接洽、道具製作、文書處理、環境 整理、佈置、餐具用品的清洗、一 切善後復原工作。,△大灣聖若瑟天主堂TEL:271- 4125李若望神父 △永康法蒂瑪聖母天主堂 TEL:232-3027陳輝神父 △新化耶穌聖名天主堂TEL:598- 2235陳輝神父 △玉井吾樂之緣聖母天主堂 TEL:574-2614李若望神父 △新市護守天使天主堂TEL:589- 8637阮光足神父 △善化聖家天主堂TEL:581-8241 阮光足神父 △官田聖安東尼天主堂TEL:698- 2174陳伯奇神父 △六甲聖伯鐸聖保祿天主堂,,2019/3/13
全區,財團法人天主教會 台南教區4,1.彌撒祭禮:員額3人 每週日上午7:30~9:30 聖誕節晚上7:00~9:00  2.青年團契:員額3人 每週日上午9:30~11:30 3.寒暑假各項青年團契服務時數8 小時。 上午7:30~11:30 下午1:30~5:30 員額3人,資深輔導老師帶領從事下列服務學 習: 1.幫助彌撒時協助準備:祭台祭器 清點佈、聖堂經書、歌本排放、教 唱聖歌。彌撒中協助擔任輔祭工 作、聖歌伴奏。彌撒結束後祭台祭 器清理佈置及還原。 2.寒暑假協助青少年各項團契活 動:學習活動設計、規劃佈置、海 報宣傳影片製作、團隊策畫、活動 接洽、道具製作、文書處理、環境 整理、佈置、餐具用品的清洗、一 切善後復原工作。,△佳里天主聖三天主堂TEL:723- 8620梁承恩神父(代理) △麻豆耶穌君王天主堂TEL:572- 2142鐘義宗神父 △下營聖母升天天主堂TEL:572- 3311江培瑜神父 △白河天主聖三天主堂TEL:685- 4303巫福生神父 △鹽水聖神天主堂TEL: 652- 6011鐘義宗神父 △新營天使之后天主堂TEL:632- 2514黃敏正神父,,2019/3/13
東區,崇誨里辦公處,寒暑假星期一至星期日 上午8:00-12:00 下午1:00-5:00 平日星期六日 上午8:00-12:00 下午1:00-5:00 每日2-10人,1.街道社區打掃 2.活動協助 3.里長(家長)陪同關懷訪視 4.社區服務,聯絡人:趙洪芝 電話:06-2344330,,2019/3/13
南區,文華里辦公處,●寒暑假週一至週日: 上午08:00-12:00 下午1:30-5:30 ●週六、日: 上午08:00-12:00 下午1:30-5:30 員額:20人 (人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:李秉樺里長 電話:06-2658988,,2019/3/13
南區,喜北里辦公處,●寒暑假週一至週日: 上午08:00-12:00 下午1:30-5:30 ●週六、日: 上午08:00-12:00 下午1:30-5:30 員額:20人 (人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:林鴻儒里長 電話:0931975936,,2019/3/13
安南區,台南市福星長壽會,"學生寒暑假或例假日: 上午08:00-12:00 下午1:30-5:30 晚上6:00-9:00 每時段2-4人(每人每日最多2時段, 每周最多5天) 平常上學日: 晚上6:00-9:00 3-5人(每人每周含例假日最多5天)","1.聚會場址(十二佃神榕/廟前廣 場)環境清掃 2.各項活動協助,如桌椅擺設,影音 設備協助處理 3.老人基本服務,如倒茶水,協助上 下車,陪老人下棋聊天 4.資料整理",聯絡人:高敏証 電話:0925522568,,2019/3/25
東區,文聖里辦公處,寒暑假星期一至星期日 上午7:30-11:30 下午2:00-6:00 平日星期六日 上午7:30-11:30 下午2:00-6:00 每日2-8人,1.里內環境打掃 2.里內活動協助 3.里內社區服務 4.文書資料整理,聯絡人:鄭林勝時 電話:06-2604609,,2019/4/10
下營區,財團法人曾文壽文化藝術基金會,"1. 平常例假日,每日2-4人 上午8:00-12:00 下午1:30~5:30 2. 寒暑假週一至週日,每日2-10 人 上午8:00-12:00 下午1:30~5:30",1.環境清掃 2.樂譜整理、資料建檔 3.公益演出 4.公益演出時協助場佈、引導等。,聯絡人:廖智慧 電話:0931-299365,,2019/4/22
中西區,兌悅里辦公處,周日 上午9:00-12:00 下午2:00-5:00,公園綠地、巷道、活動中心之環境 維護及整理,兌悅里辦公處:里長曾雅志 電話:0911170301,,2019/4/22
北區,長勝里辦公處,寒暑假週一至週五: 上午 8:00-11:00 下午2:00-5:00 10人(每日各2人) 週六日: 上午8:00-12:00 2人,1.公園街道社區打掃 2.協助文書處理 3.社區活動時陪伴關懷長輩 4.協助社區整理環境與物品,聯絡人:吳澐晏里長 聯絡電話:06-2348266,,2019/4/22
永康區,台南市永康扶輪社,平時週六日及寒暑假 上午9:00~12:00 下午2:00~5:00 晚上6:00-9:00 員額:每次不超過20人為限。(每 天不超過8小為原則),1.安養中心長者陪伴(會由扶輪社 友或家長一起陪同) 2.社區里民長者帶動唱活動。 3.淨灘活動(如至黃金海岸、觀夕 平臺...等) 4.美化社區綠化環境打掃 (如:花 圃整理或區域清潔) 5.社區活動中心桌椅擦拭清潔工作 6.社區資料整理。,主任:魏裕寬 0933-667-567 /(06)250-4383 幹事: 0933-775-345 E - mail:yk3470@gmail.com,,2019/4/22
東區,財團法人中華基督教浸信會台南市恩 慈堂教會,非寒暑假: 週六 下午2:00~6:00 晚上7:00~9:00 週日 上午9:00~12:00 寒、暑假: 週二~周五 上午9:00~12:00 下午1:00~5:00 週六 下午2:00~6:00 晚上7:00~9:00 週日上午9:00~12:00,1.幫助兒童在每週日進行:讀經、 詩歌、兒童品格、手工勞作。 2.環境整潔工作。 3.教會各項活動協助。 4.資料整理,聯絡人:蔡立亭 電話:06-2341694,,2019/4/22
南區,鯤鯓里辦公處,●寒暑假週一至週日: 上午08:00-12:00 下午1:30-5:30 ●平時週六日 上午08:00-12:00 下午1:30-5:30 員額:20人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:陳金江里長 電話:06-2627917,,2019/4/22
麻豆區,麻豆地政事務所,一、服務時間: 暑假週一至週五: 上午08:00-12:00 下午13:30-17:30 二、員額:4人,1.協助引導民眾洽辦公務 2.協助清理環境工作 3.簡易文書整理工作,聯絡人:黃圓媛 電話:06-5725753#507,,2019/4/22
東區,財團法人台南市衛國街基督教會,一、服務時間: (1)學期中:星期六上午9:00- 12:00、下午14:00-17:00、星期日 上午8:30-12:00 (2)寒暑假:星期三至星期六上午 9:00-12:00、下午14:00-17:00、 星期日上午8:30-12:00,"1.協助教會環境清掃。 2.協助教會各項聚會活動:說故 事、詩歌教唱、遊戲、司琴,影音 設備的歸納與整理,資料彙整與發 放。 3.暑假期間,協助夏令營活動之佈 置、海報設計、宣傳影片製作、道 具製作、文書處理、環境整理等服 務學習。",聯絡人:陳淑芬 電話:06-2356332,,2019/5/10
永康區,永明里辦公處,例假日、寒暑假: 上午9:00-12:00 下午2:00-5:00,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人: 里長吳深濤 電話:0915156868,,2019/5/16
安平區,王城里辦公處,週六、週日: 上午8:00-12:00 下午1:00-5:00 寒暑假週一至週日: 上午8:00-12:00 下午1:00-5:00 每日最多10人,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:里長黃景星 電話:0958-516836,,2019/5/16
安南區,公塭里辦公處,寒暑假週一至週五 上午8:00-12:00 下午2:00-5:00 週六、日 上午9:00-12:00 下午2:00-5:00 10人(人數視需求增減),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:里長林宏男 電話:0913-398899,,2019/5/16
佳里區,六安里辦公處,寒暑假週一至週五: 下午1:30-4:30 30人(每日各6人) 週六日: 上午8:00-11:00 下午2:00-5:00 20人(每時段各5人),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:林佩玲里長 電話:0928798822,,2019/5/16
佳里區,南勢里辦公處,寒暑假週一至週五: 下午1:30-4:30 30人(每日各6人) 週六日: 上午8:00-11:00 下午2:00-5:00 20人(每時段各5人),1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:黃進福里長 電話:0925488188,,2019/5/16
東區,財團法人靈鷲山佛教基金會/台南講 堂,寒暑假週一至週日: 上午10:00-12:00 下午1:00-5:00 20人(每日各20人) 平日週六日: 上午8:00-12:00 20人(每日各20人),"1.協助講堂據點文書相關工作。 2.由成人志工陪同,協助普仁獎家 訪。 3.協助普仁兒童營隊報到及引導、 場地布置打掃、輔導陪伴等活動支 援事項。",聯絡人:潘韻筑 電話:06-2083981,,2019/5/16
全區,社團法人中華兒童與家庭促進協會,"時間依各活動舉辦日期公告,於寒 暑假及例假日,並保障足夠休息時 間為原則。 寒暑假或例假日: 上午08:00-12:00, 下午1:00-5:00 (每周最多5天)。 員額:依活動需求招募,每個梯次 2至10人。","1.青少年培力活動協助:針對本會 服務對象所辦理之專長培力課程、 職場體驗課程、生涯探索等相關課 程志工協助,主要服務內容為擔任 授課教師助手。2. 探索教育活動 協助:針對本會服務對象所辦理之 高低空探索教育活動協助,主要服 務內容為活動場地準備、攝影、擔 任活動教練助手,包含器材發放、 尺寸確認與更換,以及於安全處陪 伴參與學員,給予其支持。3. 活 動設攤協助:與服務對象與本會工 作人員一同參與親子園遊會、社區 跳蚤市場、路跑義賣募款及其他協 會舉辦或參與之相關活動攤位協助 ,主要服務內容為服務對象陪伴、 攤位準備、商品介紹、環境整理。 4. 協會庶務工作協助:主要服務 內容為資料整理、各項文件登打、 整理及建檔。",聯絡人:鄭鈞哲 電話:0931301033,,2019/5/29
中西區,永福國民小學,寒暑假、例假日 上午8:00-12:00 下午1:00-5:00,1.圖書志工:協助圖書館圖書整 理、資料建檔。 2.園藝志工:協助綠魔毯、走廊澆 灌與植栽整理等綠美化工作。 3.環境志工:協助校園環境打掃、 用具整理。 4.文書志工:協助行政教師文書資 料整理。 5.活動志工:協助社團或營隊等活 動進行。 6.永福歷史撰寫志工:協助歷史小 書撰寫。,聯絡人:洪苗芳(衛生組) 電話:06-2223241*810,,2019/6/14
東區,財團法人台灣基督長老教會台南後甲 教會,寒暑假: 週一至週日 上午9:00-12:00 下午2:00-6:00 學期中: 週六、日 上午09:00-12:00 下午2:00-5:00 晚上6:00-9:00 寒暑假:15名 學期中:5名 每日不超過8小時為原則,由資深輔導/社工帶領協助下列非 營利性質服務學習: 1.參與協助活動設計、規劃、佈 置、海報製作、宣傳影片製作、團 隊策畫、活動接洽、道具製作之支 援。 2.活動中協助擔任文書處理、環境 整理、教會佈置、社區環境整理、 社區健康檢測服務(場地佈置、填 寫血壓、血糖量測記錄)等學習服 務。3.由教會人員或家長陪同協助 社區服務、協助老人服務活動、協 助寒暑假至國小辦理冬夏令營活 動。協助週間國小兒童課後陪讀 班、週六、日兒童、青少年讀經、 詩歌(領)教唱、伴奏。4.協助將由 基督教救助協會1919食物銀行領回,聯絡人:劉純禎 電話:06-2682547;06-3366218,,2019/6/14
東區 中西區,中華民國撒拉弗行動關懷協會,寒暑假週一至週五 上午08:00~12:00 下午1:00~5:00 員額:10名 平常日週六                 下 午2:00~5:00 員額:6名,"1.協助上課秩序 2.教室清潔 3.協助老師上課(小老師) 4.協助老年人量血壓與記錄 5.安排電訪問安 6.協助陪同成人關懷老年人,地點 在東區東門路一段145號B1",聯絡人:買雅君 電話:06-2368650,,2019/7/8
七股區,後港國民小學,寒暑假週一至週五 上午8:30至11:30 下午1:30至4:00 每天5人,"1、 校園環境整理 2、 圖書建檔與圖書整理 3、 協助暑期活動,擔任各項營隊 及夏日樂學課程助手 4、 各項臨時交辦事項",鄭啟甫學務組長 7941305#23,,2019/7/19
南區,省躬國小,寒暑假週一至週日: 上午8:00 至12:00 下午1:30至4:00 每日各16人 平時週六日: 上午 8:00 至12:00 下午 1:30至4:00 每日各16人,1.校內環境清掃 2.校內活動協助 3.校內社區服務 4.資料整理,聯絡人:楊宛寧主任 電話:06-2622460分機721,,2019/7/19
新市區,臺南市新市區大社國民小學,寒暑假週一至週日: 上午8:00至12:00 下午1:00-5:00 每日各10人 平時週六日: 上午8:00至12:00 每日各10人,1.支援校慶運動會活動(如:裁判、 趣味競賽協助、場地佈置、大會獎 典等) 2.支援畢業典禮及成果展 (如:引導人員、接待人員、場地佈 置等) 3.支援寒暑假營隊及弱勢扶 助(如:陪讀小老師、營隊隊服、環 境整理等),聯絡人:張理誠 電話:06-5991593#803,,2019/7/19
佳里區,國立北門農工/圖書館,寒暑假週一至週五 上午8:30~12:00 下午1:00~4:30 2人(每日各2人),1.圖書館內外環境清掃 2.館內活動協助 3.協助圖書整架、上架,聯絡人:林佳蓁 電話:(06)7260148#251 聯絡人:顏瑜珍 電話:(06)7260148#252,,2019/7/19
中西區,臺南市政府消防局 臺南市消防史料館 民生圓環(文學館旁),"週六日: 上午9:00-12:00 下午1:00-4:00 每班3人(每日各6人,六日共12人)",1.展館導覽解說 2.展館VR設備操作 3.展館環境清潔,聯絡人:陳生協 電話:2975119#2202或 0910739954,,2019/7/19
安平區,中華創意創新發展協會,108年9月13日(中秋節)、14日(六) 上午9:00-12:00 下午1:00-6:00,"擔任活動服務說明志工 2019CCKids 3th嘻嘻完科普創課嘉 年華 活動入場:免費 本次活動內容著重在科普、108課 綱、STEAM跨域教學,以展覽、主 題競賽、互動體驗、教育論壇等方 式呈現整體的活動。且活動中運用 國中生擔任活動服務說明志工,學 習說明該負責的項目(科普、科學 展品)及帶領小小孩體驗簡易的工 作坊等。學生能在志工服務中練習 口條,也能在過程中加深對科普實 驗、STEAM成果上的體驗。",聯絡人:李瑜倢 電話:08-7213890,,2019/7/19
關廟區,臺南市關廟區五甲國民小學,寒暑假週一至週日:上午 8:00至 12:00下午 1:30-5:30 每日各10人 平時週六日: 上午8:00至12:00下午 1:30-5:30 每日各10人 特殊學校活動(非上課日期): 上午8:00至12:00下午 1:30-5:30,1.校內環境清掃 2.校內活動協助 3.校內社區服務 4.資料整理 5.學校臨時交辦事項,聯絡人:翁參玉 電話:06-5952155*303,,2019/7/19
南區,財團法人基督教國度豐收教會,寒暑假週一至週日: 上午8:00至12:00 下午1:30-5:30 每日各5人 平時週六日: 上午8:00至12:00 下午1:30-5:30 每日各3人,1.里內環境清掃 2.里內活動協助 3.里內社區服務,聯絡人:許雅典 電話:0975311795,財團法人,2019/8/12
麻豆區,培文國民小學,寒暑假週一至週五 上午8:00至12:00 下午1:30至16:00 每時段各2-6人,1.資料檢核 2.整理資訊設備 3.整理分發教科書 4.圖書館服務 5.愛的書庫盤點 6.環境整理 7.協助學校活動攝影 8.校園綠美化 9.輔導室器材整理,聯絡人:許莉吟 電話:5722169#841,,2019/8/12
中西區,國立臺南大學附屬啟聰學校,寒暑假週一至週五: 8:00-16:30 2人(每日各1-2人),1.校園環境清掃 2.校園活動協助 3.資料整理,聯絡人:陳文通 電話:06-2222936#312,,2019/8/12
新化區,國立臺南大學附屬啟聰學校,寒暑假週一至週五: 8:00-16:30 2人(每日各2人),1.校園環境清掃 2.校園活動協助 3.資料整理,聯絡人:林岳慶 電話:06-5900504#316,,2019/8/12
東區,社團法人臺南市在家佛教立正佼成會,1.寒暑假週一至週六: 上午8:30 至12:00(週四除外) 2.平日週六 上午9:00~12:00 3.服務人數:10人,1.街道社區打掃 2.本會支部長及幹部(家長)陪同關 懷訪視(對社區獨居老人、做關懷 慰問、陪伴聊天、整理內務等) 3.本會支部長及幹部(家長)陪同社 區關懷工作(到教養院或孤兒院幫 忙打掃、清洗及準備飯菜等等) 4.環境整理 5.文書資料整理,聯絡人:吳秀月 手機:0929-046-570 電話:06-2891478,,2019/8/12
東區,全球華語文教育發展協會,寒暑假及課餘時間 上午8:00-12:00 下午1:00至5:00 需求員額: 每次活動10-15人(員額視需求增 減),由本會派遣人員(18歲以上成年工 作人員)帶領協助下列非營利性質 之服務學習 1.協助來台交流外籍學生課程體驗 及社團交流 2.向外籍交流學生介紹台灣文化與 特色,姓名:吳忠恩 聯絡電話:06-3362561#22 電子信箱: tadashiwu@mandarinfirst.org,"人民團體,112/7/25更新聯絡資 訊",2019/8/12
北區,合興里辦公處,寒暑假週一至週日: 上午8:00至 12:00 下午1:30-5:30 每日各二人 平時週六日: 上午9:00至12:00 下午2:00-6:00 每日各二人,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:吳承芳里長 電話:06-2367587,公家機關,2019/11/29
麻豆區,港尾國小,寒暑假週一至週日: 上午9:00至12:00 需求5人 下午1:00-4:00 需求5人,1.圖書室環境清掃 2.圖書書籍整理 3.協助條碼編列,聯絡人:王定國 電話:06-5701341#207,公家機關,2020/1/7
北區,立人國小,寒暑假週一至週日: 上午8:00至12:00 下午1:30-5:30 每日各10人 平時周六日 上午9:00-12:00 下午2:00-6:00 每日各10人,1.校內環境清掃 2.校內活動協助 3.校內社區服務 4.資料整理 5.學校系列活動 6.暑假棒球育樂營,聯絡人:洪小惠 電話:06-222054#721,公家機關,2020/1/7
東區,財團法人台灣聖公會,"1. 例假日,每日5人 上午8:00-12:00;下午2: 00~5:00。 2. 寒暑假的第一週,週一至週日 ,每日40人 上午8:00-12:00;下午1: 30~5:30。",1.協助文書資料之處理與印製、名 牌及手冊製作裝訂:每次2小時 2.社區環境之清潔、打掃、垃圾分 類與資源回收:每次2小時 3.協助食材的整理、餐點製作與餐 後清理:每次2小時 4.協助製作贈送長輩們的蛋糕及餅 乾:每次2小時 5.協助致贈護理之家與日照中心長 輩的禮物包裝與卡片設計製作:每 次2小時 6.協助桌遊遊戲器材準備與指活動 進行:每次2小時 7.協助戶外遊戲之設計、器材準備 與活動進行:每次2小時 8.協助團康活動之設計、器材準備 與活動進行:每次2小時 9.協助活動之攝影與多媒體視聽影 片之剪輯與製作:每次3小時 10.參與台南榮家、護理之家與日,"代表人:張員榮 聯絡人:鄭成 章 電話:06-2683774, 0937702297 E-Mail: gracechurch@episcopalchurch. org.tw",□公家機關 □社團法人 ■財團法人 □人民團體,2020/1/7
安平區,億載國小,1.寒暑假周一至周五上午8:00- 12:00下午1:00-4:00每日每個時段 最多20人 2.校慶運動會(非上課日期)上午 8:00-12:00下午1:00-4:00每日每 個時段最多30人 3.特殊時段(非上課日期):辦理非 大型活動規劃期程、支援人力視執 行需要,1.校園環境清潔維護 2.圖書建檔與圖書整理 3.辦理大型活動(含校慶運動會)庶 務工作支援 4.學校臨時交辦事項,聯絡人:鐘于寧 電話:06-2932371#825,■公家機關 □社團法人 □財團法人 □人民團體,2020/1/7
楠西區,楠西國小,寒暑假週一至週日: 上午8:30至11:30 下午1:30-4:30 每日各25人 平時周六日 上午8:00至12:00 下午1:00-4:00 每日各25人,1.校內環境清掃 2.寒暑假活動協助 3.圖書館館藏整理服務 4.資料整理 5.協助假日學校辦理之相關活動,聯絡人:宋秉璋 電話:06-5751026#21,■公家機關 □社團法人 □財團法人 □人民團體,2020/1/7
北門區,文山里辦公室,周六日:8:00-12:00 50人,1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:里長李英信 電話:0927500893 聯絡人:里幹事 電話:0918985004,■公家機關 □社團法人 □財團法人 □人民團體,2020/1/7
中西區,府前里辦公處,1.寒暑假: 上午9:00至12:00 下午14:00-17:00 2.平常時:周六日 上午9:00-12:00 下午14:00-17:00,1.里內公園綠地清潔維護打掃 2.里內巷道清潔維護打掃 3.里活動中心清潔維護打掃 4.由里內成年人陪同協助登革熱孳 生源清除 5.里各項活動協助工作,聯絡人:里長蔡宗明 電話:06-2257903、 0933347402,■公家機關 □社團法人 □財團法人 □人民團體,2020/1/7
安南區,社團法人台灣萬人社福協會,1.寒暑假週一至週日: 上午9:00至12:00 下午13:30-16:30 每日各4人 2.周六日 上午9:00-12:00 下午14:00-17:00 每日各4人,1.協會所舉辦之各項活動、宣導活 動 2.日照活動支援 3.日照長者陪伴 4.新住民親子活動支援 以上皆由成人陪同,聯絡人:陳佩君 電話:06-2570119,□公家機關 □社團法人 □財團法人 ■人民團體,2020/1/7
永康區,奇美醫療財團法人奇美醫院,"寒暑假週一至週五及週六、日:上 午9:00-12:00下午13:00-17:00 ,員額視需求調配","1.協助文書資料處理,影印文件及 文書資料傳送 2.協助社區巡迴義診 3.協助各項活動報到引導等 4.協助無菸醫院問卷調查、電腦繕 打、資料整理",聯絡人:社區發展組張慈慧組長 電話:06-2812811#52988,"機構來電告知,自113/1/9起, 停止提供校外服務學習。",2020/1/7
中西區,財團法人基督教良友會,週六:下午2:00-5:00 週日:9:00-13:00 寒暑假(有舉辦活動時):周一~周五 上午9:00-12:00 下午1:00-5:00 員額:10人(若有特殊活動視情況予 以增減),由本會派任資深輔導帶領協助下列 非營利性質之服務學習 1.幫助國小及幼稚園兒童之假日輔 導或陪讀。 2.環境整潔工作。 3.教會各項活動協助、詩歌(領)教 唱、伴奏、投影片播放等。 4.資料整理、文書處理、教會布置,聯絡人:陳世鴻 電話:0908892618,財團法人,2020/1/7
永康區,王行社區發展協會,"例假日:每日3人 上午8:00至12:00,下午2:00-5:00 寒暑假:每日2人 上午8:00至12:00,下午2:00-5:00",1.協助文書處理 2.協助社區環境打掃,聯絡人:葉庭洲總幹事 電話:0932800725,□公家機關 □社團法人 □財團法人 ■人民團體,2020/1/24
北區,財團法人台灣省台南市豐生基督教會,寒暑假週一至週五: 上午8:30至12:00 每日3-5人不等 2.平時週日 上午9:30至12:30 每日3-5人不等 (時間與人數安排依實際活動需要 做調整),1.參與協助活動設計、規劃、佈 置、道具製作之支援 2.活動中協助擔任文書處理、環境 清潔整理、教會佈置、社區環境以 及社區老人課程活動的協助等學習 服務 3.由教會人員或家長陪同協助社區 服務、協助老人服務活動、協助寒 暑假辦理冬夏令營活動,聯絡人:陳佩芳 電話:06-2812113,□公家機關 □社團法人 ■財團法人 □人民團體,2020/1/24
安平區,財團法人蔡介雄文教基金會,1.寒暑假週一至週日: 上午9:00至12:00下午2:00-5:00 2.週六日 上午9:00-12:00下午2:00-5:00 3.服務人數:6人,"1.非營利性質的服務學習,幫助學 童在每週六、週日進行唱歌.跳舞 及才藝品格營 2.陪同訪視弱勢及關懷長者 3.協助文書作業 4.協助社區整理環境及物品 備註:以上活動皆有文教基金會人 員陪同照看",聯絡人:莊玉鑾 小姐 手機:0928-429-160 電話:06-2631489,財團法人,2020/1/24
南區,財團法人基督教浸信會三一堂,"1.例假日週六:,每日5-8人,上午 8:30-12:00;下午1:00-5:30 2.寒暑假週二~週五,每日5-8人, 上午8:30-12:00;下午1:00-5:30 3.寒暑假社區服務團隊,服務時間 與員額依活動計畫而定 備註:服務學習項目均安排本教會 成年工作人員陪同。",1.環境清掃 2.活動協助 3.社區服務 4.資料整理,聯絡人:侯升雍 電話:215131-14,財團法人,2020/6/7
